Sat Jan 20 19:25:55 CST 2024

Device Version Info = 1746_0_01
BQZ Device Name = bq27z746
BQZ Firmware Version = 0_01


Sample,DateTime,ElapsedTime,Voltage,Current,LogRowTime(ms),LogStatus
355,2024-01-20 19:31:53,358.827,3858,-3069,34,SUCCESS
356,2024-01-20 19:31:54,359.841,3858,-3069,35,SUCCESS
357,2024-01-20 19:31:55,360.843,3858,-3065,33,SUCCESS
358,2024-01-20 19:31:57,361.856,3857,-3069,35,SUCCESS
359,2024-01-20 19:31:58,362.870,3857,-3065,22,SUCCESS
360,2024-01-20 19:31:59,363.884,3858,-3062,25,SUCCESS
361,2024-01-20 19:32:00,364.898,3857,-3065,26,SUCCESS
362,2024-01-20 19:32:01,365.898,3857,-3062,25,SUCCESS
363,2024-01-20 19:32:02,366.908,3857,-3062,32,SUCCESS
364,2024-01-20 19:32:03,367.920,3857,-3062,36,SUCCESS
365,2024-01-20 19:32:04,368.921,3857,-3062,32,SUCCESS
366,2024-01-20 19:32:05,369.936,3857,-3058,36,SUCCESS
367,2024-01-20 19:32:06,370.937,3857,-3058,32,SUCCESS
368,2024-01-20 19:32:07,371.952,3857,-3058,33,SUCCESS
369,2024-01-20 19:32:08,372.952,3857,-3054,36,SUCCESS
370,2024-01-20 19:32:09,373.965,3857,-3058,21,SUCCESS
371,2024-01-20 19:32:10,374.978,3857,-3054,23,SUCCESS
372,2024-01-20 19:32:11,375.990,3857,-3054,27,SUCCESS
373,2024-01-20 19:32:12,376.993,3857,-3054,23,SUCCESS
374,2024-01-20 19:32:13,377.996,3857,-3051,37,SUCCESS
375,2024-01-20 19:32:14,379.009,3856,-3051,24,SUCCESS
376,2024-01-20 19:32:15,380.011,3857,-3051,21,SUCCESS
377,2024-01-20 19:32:16,381.022,3856,-3051,26,SUCCESS
378,2024-01-20 19:32:17,382.036,3856,-3051,27,SUCCESS
379,2024-01-20 19:32:18,383.046,3856,-3047,35,SUCCESS
380,2024-01-20 19:32:19,384.061,3856,-3043,36,SUCCESS
381,2024-01-20 19:32:20,385.063,3856,-3051,33,SUCCESS
